source,target,weight,source_name,target_name,edge_type
Cap.16,Cap.12,61,Civil Code,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.16,Cap.13,4,Civil Code,Commercial Code,CROSS_REFERENCE
Cap.16,Cap.158,5,Civil Code,Housing (Decontrol) Ordinance,CROSS_REFERENCE
Cap.16,Cap.234,3,Civil Code,Merchant Shipping Act,CROSS_REFERENCE
Cap.16,Cap.258,2,Civil Code,Identity Card and other Identity Documents Act,CROSS_REFERENCE
Cap.16,Cap.318,1,Civil Code,Social Security Act,CROSS_REFERENCE
Cap.16,Cap.331,10,Civil Code,Trusts and Trustees Act,CROSS_REFERENCE
Cap.16,Cap.364,1,Civil Code,Duty on Documents and Transfers Act,CROSS_REFERENCE
Cap.16,Cap.370,1,Civil Code,Investment Services Act,CROSS_REFERENCE
Cap.16,Cap.371,1,Civil Code,Banking Act,CROSS_REFERENCE
Cap.16,Cap.376,1,Civil Code,Financial Institutions Act,CROSS_REFERENCE
Cap.16,Cap.377,1,Civil Code,Professional Secrecy Act,CROSS_REFERENCE
Cap.16,Cap.378,2,Civil Code,Consumer Affairs Act,CROSS_REFERENCE
Cap.16,Cap.386,13,Civil Code,Companies Act,CROSS_REFERENCE
Cap.16,Cap.387,1,Civil Code,Arbitration Act,CROSS_REFERENCE
Cap.16,Cap.413,3,Civil Code,Equal Opportunities (Persons with Disability) Act,CROSS_REFERENCE
Cap.16,Cap.445,2,Civil Code,Cultural Heritage Act,CROSS_REFERENCE
Cap.16,Cap.484,1,Civil Code,Securitisation Act,CROSS_REFERENCE
Cap.16,Cap.492,11,Civil Code,Voluntary Organisations Act,CROSS_REFERENCE
Cap.16,Cap.499,1,Civil Code,Authority for Transport in Malta Act,CROSS_REFERENCE
Cap.16,Cap.503,3,Civil Code,Aircraft Registration Act,CROSS_REFERENCE
Cap.16,Cap.525,1,Civil Code,Mental Health Act,CROSS_REFERENCE
Cap.16,Cap.549,1,Civil Code,Environment Protection Act,CROSS_REFERENCE
Cap.16,Cap.55,7,Civil Code,Notarial Profession and Notarial Archives Act,CROSS_REFERENCE
Cap.16,Cap.552,1,Civil Code,Development Planning Act,CROSS_REFERENCE
Cap.16,Cap.586,1,Civil Code,Data Protection Act,CROSS_REFERENCE
Cap.16,Cap.602,3,Civil Code,Minor Protection (Alternative Care) Act,CROSS_REFERENCE
Cap.16,Cap.604,9,Civil Code,Private Residential Leases Act,CROSS_REFERENCE
Cap.16,Cap.625,1,Civil Code,Exclusive Economic Zone Act,CROSS_REFERENCE
Cap.16,Cap.69,6,Civil Code,Reletting of Urban Property (Regulation) Ordinance,CROSS_REFERENCE
